"global_index","순번","문제 파일명","정답 파일명","통합사회 1권/2권","대단원","소단원 (자세한)","기존 사탐 범주","내신 난이도 (상,중,하)","정답율%","기출문제 유무 (Y/N)","태그 (쉼표구분)","출처"
"232","232",,,"통합사회2","인권 보장과 헌법","인권 보장을 위한 헌법의 역할과 시민참여","정치와 법","하","84","Y","정치 참여 집단의 특징 비교","2023학년도 9월 모평 8번"
"233","233",,,"통합사회2","인권 보장과 헌법","인권 보장을 위한 헌법의 역할과 시민참여","정치와 법","하","91","Y","정치 참여 집단의 특징 비교","2022년 10월 학평 18번"
"234","234",,,"통합사회2","인권 보장과 헌법","인권 보장을 위한 헌법의 역할과 시민참여","정치와 법","하","87","Y","정치 참여 집단의 특징 비교","2023학년도 수능 2번"
"235","235",,,"통합사회2","인권 보장과 헌법","인권 보장을 위한 헌법의 역할과 시민참여","정치와 법","하","92","Y","정치 참여 집단의 특징 비교","2023년 4월 학평 2번"
"236","236",,,"통합사회2","인권 보장과 헌법","인권 보장을 위한 헌법의 역할과 시민참여","정치와 법","하","92","Y","정치 참여 집단의 특징 비교","2019년 10월 학평 13번"
"237","237",,,"통합사회2","인권 보장과 헌법","인권 보장을 위한 헌법의 역할과 시민참여","정치와 법","하","80","Y","정치 참여 집단의 특징 비교","2020년 4월 학평 5번"
"238","238",,,"통합사회2","인권 보장과 헌법","인권 보장을 위한 헌법의 역할과 시민참여","정치와 법","하","92","Y","정치 참여 집단의 특징 비교","2022학년도 6월 모평 8번"
"239","239",,,"통합사회2","인권 보장과 헌법","인권 보장을 위한 헌법의 역할과 시민참여","정치와 법","하","88","Y","정치 참여 집단의 특징 비교","2024학년도 6월 모평 16번"
"240","240",,,"통합사회2","인권 보장과 헌법","인권 보장을 위한 헌법의 역할과 시민참여","정치와 법","하","88","Y","정치 참여 집단의 특징 비교","2024년 4월 학평 5번"
"241","241",,,"통합사회2","인권 보장과 헌법","인권 보장을 위한 헌법의 역할과 시민참여","정치와 법","하","85","Y","정치 참여 집단의 특징 비교","2022년 4월 학평 5번"
"242","242",,,"통합사회2","인권 보장과 헌법","인권 보장을 위한 헌법의 역할과 시민참여","정치와 법","하","65","Y","정치 참여 집단의 특징 비교","2022년 3월 학평 4번"
"243","243",,,"통합사회2","인권 보장과 헌법","인권 보장을 위한 헌법의 역할과 시민참여","정치와 법","하","69","Y","정치 참여 집단의 특징 비교","2021년 3월 학평 8번"
"244","244",,,"통합사회2","인권 보장과 헌법","인권 보장을 위한 헌법의 역할과 시민참여","정치와 법","하","84","Y","정치 참여 집단의 특징 비교","2023년 7월 학평 11번"
"245","245",,,"통합사회2","인권 보장과 헌법","인권 보장을 위한 헌법의 역할과 시민참여","정치와 법","하","94","Y","정치 참여 집단의 특징 비교","2024학년도 수능 13번"
"246","246",,,"통합사회2","인권 보장과 헌법","인권 보장을 위한 헌법의 역할과 시민참여","정치와 법","하","69","Y","정치 참여 집단의 특징 비교","2023년 3월 학평 15번"
"247","247",,,"통합사회2","인권 보장과 헌법","인권 보장을 위한 헌법의 역할과 시민참여","정치와 법","하","62","Y","정치 참여 집단의 특징 비교","2018년 7월 학평 5번"
"248","248",,,"통합사회2","인권 보장과 헌법","인권 보장을 위한 헌법의 역할과 시민참여","정치와 법","하","92","Y","정치 참여 집단의 특징 비교","2021학년도 수능 8번"
"249","249",,,"통합사회2","인권 보장과 헌법","인권 보장을 위한 헌법의 역할과 시민참여","정치와 법","하","76","Y","정치 참여 집단의 특징 비교","2021학년도 6월 모평10번 "
"250","250",,,"통합사회2","인권 보장과 헌법","인권 보장을 위한 헌법의 역할과 시민참여","정치와 법","하","88","Y","정치 참여 집단의 특징 비교","2024학년도 9월 모평 16번"
"251","251",,,"통합사회2","인권 보장과 헌법","인권 보장을 위한 헌법의 역할과 시민참여","정치와 법","하","92","Y","정치 참여 집단의 특징 비교","2025학년도 6월 모평 8번"
"252","252",,,"통합사회2","인권 보장과 헌법","인권 보장을 위한 헌법의 역할과 시민참여","정치와 법","하","89","Y","정치 참여 집단의 특징 비교","2019년 7월 학평 6번"
"253","253",,,"통합사회2","인권 보장과 헌법","인권 보장을 위한 헌법의 역할과 시민참여","정치와 법","하","83","Y","정치 참여 집단의 특징 비교","2018년 10월 학평 12번"
"254","254",,,"통합사회2","인권 보장과 헌법","인권 보장을 위한 헌법의 역할과 시민참여","정치와 법","하","84","Y","정치 참여 집단의 특징 비교","2024년 7월 학평 19번"
"255","255",,,"통합사회2","인권 보장과 헌법","인권 보장을 위한 헌법의 역할과 시민참여","정치와 법","하","70","Y","정치 참여 집단의 특징 비교","2020년 3월 학평 17번"
"256","256",,,"통합사회2","인권 보장과 헌법","인권 보장을 위한 헌법의 역할과 시민참여","정치와 법","하","87","Y","정치 참여 집단의 특징 비교","2020년 10월 학평 12번"
"257","257",,,"통합사회2","인권 보장과 헌법","인권 보장을 위한 헌법의 역할과 시민참여","정치와 법","하","97","Y","정치 참여 집단의 특징 비교","2023년 10월 학평 8번"
"258","258",,,"통합사회2","인권 보장과 헌법","인권 보장을 위한 헌법의 역할과 시민참여","정치와 법","중","59","Y","정치 참여 집단의 특징 비교","2021년 4월 학평 6번"
"259","259",,,"통합사회2","인권 보장과 헌법","인권 보장을 위한 헌법의 역할과 시민참여","정치와 법","하","72","Y","정치 참여 집단의 특징 비교","2023학년도 6월 모평 19번"
"260","260",,,"통합사회2","인권 보장과 헌법","인권 보장을 위한 헌법의 역할과 시민참여","정치와 법","하","68","Y","정치 참여 집단의 특징 비교","2021학년도 9월 모평 5번"
"261","261",,,"통합사회2","인권 보장과 헌법","인권 보장을 위한 헌법의 역할과 시민참여","정치와 법","하","88","Y","정치 참여 집단의 특징 비교","2022학년도 수능 9번"
"262","262",,,"통합사회2","인권 보장과 헌법","인권 보장을 위한 헌법의 역할과 시민참여","정치와 법","하","85","Y","정치 참여 집단의 특징 비교","2022년 7월 학평 11번"
"263","263",,,"통합사회2","인권 보장과 헌법","인권 보장을 위한 헌법의 역할과 시민참여","정치와 법","하","91","Y","언론","2014학년도 수능 5번"
"264","264",,,"통합사회2","인권 보장과 헌법","인권 보장을 위한 헌법의 역할과 시민참여","정치와 법","하","82","Y","언론","2016학년도 9월 모평 2번"
"265","265",,,"통합사회2","인권 보장과 헌법","인권 보장을 위한 헌법의 역할과 시민참여","정치와 법","하","96","Y","언론","2015학년도 수능 3번"
"266","266",,,"통합사회2","인권 보장과 헌법","인권 보장을 위한 헌법의 역할과 시민참여","정치와 법","하","78","Y","정치 참여 집단의 특징 비교","2025학년도 9월 모평 16번"
"267","267",,,"통합사회2","인권 보장과 헌법","인권 보장을 위한 헌법의 역할과 시민참여","정치와 법","하","94","Y","정치 참여 집단의 특징 비교","2024년 10월 학평 16번"
"268","268",,,"통합사회2","인권 보장과 헌법","인권 보장을 위한 헌법의 역할과 시민참여","정치와 법","하","84","Y","정치 참여 집단의 특징 비교","2025학년도 수능 6번"
"269","269",,,"통합사회2","인권 보장과 헌법","인권 보장을 위한 헌법의 역할과 시민참여","정치와 법","중","53","Y","죄형 법정주의","2021년 7월 학평 7번"
"270","270",,,"통합사회2","인권 보장과 헌법","인권 보장을 위한 헌법의 역할과 시민참여","정치와 법","중","45","Y","죄형 법정주의","2023학년도 6월 모평 14번"
"271","271",,,"통합사회2","인권 보장과 헌법","인권 보장을 위한 헌법의 역할과 시민참여","정치와 법","하","84","Y","죄형 법정주의","2021학년도 6월 모평 17번"
"272","272",,,"통합사회2","인권 보장과 헌법","인권 보장을 위한 헌법의 역할과 시민참여","정치와 법","하","90","Y","죄형 법정주의","2024년 4월 학평 13번"
"273","273",,,"통합사회2","인권 보장과 헌법","인권 보장을 위한 헌법의 역할과 시민참여","정치와 법","하","84","Y","죄형 법정주의","2023년 4월 학평 13번"
"274","274",,,"통합사회2","인권 보장과 헌법","인권 보장을 위한 헌법의 역할과 시민참여","정치와 법","하","85","Y","죄형 법정주의","2025학년도 6월 모평 16번"
"275","275",,,"통합사회2","인권 보장과 헌법","인권 보장을 위한 헌법의 역할과 시민참여","정치와 법","하","87","Y","죄형 법정주의","2021년 4월 학평 15번"
"276","276",,,"통합사회2","인권 보장과 헌법","인권 보장을 위한 헌법의 역할과 시민참여","정치와 법","하","71","Y","죄형 법정주의","2023년 7월 학평 15번"
"277","277",,,"통합사회2","인권 보장과 헌법","인권 보장을 위한 헌법의 역할과 시민참여","정치와 법","하","89","Y","죄형 법정주의","2024학년도 6월 모평 10번"
"278","278",,,"통합사회2","인권 보장과 헌법","인권 보장을 위한 헌법의 역할과 시민참여","정치와 법","하","86","Y","형사절차","2022년 10월 학평 8번"
"279","279",,,"통합사회2","인권 보장과 헌법","인권 보장을 위한 헌법의 역할과 시민참여","정치와 법","하","82","Y","형사절차","2022학년도 수능 13번"
"280","280",,,"통합사회2","인권 보장과 헌법","인권 문제의 양상과 해결 방안","정치와 법","하","64","Y","근로 계약과 근로 3권","2021년 4월 학평 17번"
"281","281",,,"통합사회2","인권 보장과 헌법","인권 문제의 양상과 해결 방안","정치와 법","중","43","Y","근로 계약과 근로 3권","2023학년도 수능 9번"
"282","282",,,"통합사회2","인권 보장과 헌법","인권 문제의 양상과 해결 방안","정치와 법","중","45","Y","근로 계약과 근로 3권","2024년 7월 학평 17번"
"283","283",,,"통합사회2","인권 보장과 헌법","인권 문제의 양상과 해결 방안","정치와 법","하","77","Y","근로 계약과 근로 3권","2021년 3월 학평 4번"
"284","284",,,"통합사회2","인권 보장과 헌법","인권 문제의 양상과 해결 방안","정치와 법","중","51","Y","근로 계약과 근로 3권","2024년 3월 학평 14번"
"285","285",,,"통합사회2","인권 보장과 헌법","인권 문제의 양상과 해결 방안","정치와 법","하","86","Y","청소년 근로의 보호","2022년 10월 학평 7번"
"286","286",,,"통합사회2","인권 보장과 헌법","인권 문제의 양상과 해결 방안","정치와 법","하","87","Y","청소년 근로의 보호","2023년 10월 학평 14번"
"287","287",,,"통합사회2","인권 보장과 헌법","인권 문제의 양상과 해결 방안","정치와 법","하","91","Y","청소년 근로의 보호","2021년 10월 학평 18번"
"288","288",,,"통합사회2","인권 보장과 헌법","인권 문제의 양상과 해결 방안","정치와 법","하","76","Y","청소년 근로의 보호","2020년 10월 학평 4번"
"289","289",,,"통합사회2","인권 보장과 헌법","인권 문제의 양상과 해결 방안","정치와 법","하","64","Y","청소년 근로의 보호","2022년 3월 학평 15번 "
"290","290",,,"통합사회2","인권 보장과 헌법","인권 문제의 양상과 해결 방안","정치와 법","하","68","Y","청소년 근로의 보호","2020년 3월 학평 11번"
"291","291",,,"통합사회2","인권 보장과 헌법","인권 문제의 양상과 해결 방안","정치와 법","상","37","Y","청소년 근로의 보호","2021학년도 수능 10번"
"292","292",,,"통합사회2","인권 보장과 헌법","인권 문제의 양상과 해결 방안","정치와 법","중","56","Y","청소년 근로의 보호","2023학년도 6월 모평 15번"
"293","293",,,"통합사회2","인권 보장과 헌법","인권 문제의 양상과 해결 방안","정치와 법","중","54","Y","청소년 근로의 보호","2020년 4월 학평 16번"
"294","294",,,"통합사회2","인권 보장과 헌법","인권 문제의 양상과 해결 방안","정치와 법","중","51","Y","청소년 근로의 보호","2024년 4월 학평 6번"
"295","295",,,"통합사회2","인권 보장과 헌법","인권 문제의 양상과 해결 방안","정치와 법","하","77","Y","청소년 근로의 보호","2022학년도 6월 모평 10번"
"296","296",,,"통합사회2","인권 보장과 헌법","인권 문제의 양상과 해결 방안","정치와 법","중","56","Y","청소년 근로의 보호","2024학년도 6월 모평 15번"
"297","297",,,"통합사회2","인권 보장과 헌법","인권 문제의 양상과 해결 방안","정치와 법","상","27","Y","청소년 근로의 보호","2023년 3월 학평 17번"
"298","298",,,"통합사회2","인권 보장과 헌법","인권 문제의 양상과 해결 방안","정치와 법","하","63","Y","청소년 근로의 보호","2025학년도 9월 모평 8번"
"299","298",,,"통합사회2","인권 보장과 헌법","인권 문제의 양상과 해결 방안","정치와 법","하","63","Y","청소년 근로의 보호","2025학년도 9월 모평 8번"
"300","1",,,"통합사회2","사회정의와 불평등","정의의 의미와 실질적 기준","생활과 윤리","중","45","Y","사회 정의의 분류","2019년 3월 학평 14번"
"301","2",,,"통합사회2","사회정의와 불평등","정의의 의미와 실질적 기준","생활과 윤리","상","17","Y","사회 정의의 분류","2016년 7월 학평 13번"
"302","3",,,"통합사회2","사회정의와 불평등","다양한 정의관의 특징과 적용","생활과 윤리","중","58","Y","분배적 정의관","2021년 10월 학평 15번"
"303","4",,,"통합사회2","사회정의와 불평등","다양한 정의관의 특징과 적용","생활과 윤리","중","55","Y","분배적 정의관","2024년 4월 학평 9번 "
"304","5",,,"통합사회2","사회정의와 불평등","다양한 정의관의 특징과 적용","생활과 윤리","중","55","Y","분배적 정의관","2020년 3월 학평 5번"
"305","6",,,"통합사회2","사회정의와 불평등","다양한 정의관의 특징과 적용","생활과 윤리","중","47","Y","분배적 정의관","2021학년도 9월 모평 18번"
"306","7",,,"통합사회2","사회정의와 불평등","다양한 정의관의 특징과 적용","생활과 윤리","중","43","Y","분배적 정의관","2020년 10월 학평 7번"
"307","8",,,"통합사회2","사회정의와 불평등","다양한 정의관의 특징과 적용","생활과 윤리","중","59","Y","분배적 정의관","2023학년도 6월 모평 9번"
"308","9",,,"통합사회2","사회정의와 불평등","다양한 정의관의 특징과 적용","생활과 윤리","상","20","Y","분배적 정의관","2019년 4월 학평 19번"
"309","10",,,"통합사회2","사회정의와 불평등","다양한 정의관의 특징과 적용","생활과 윤리","상","24","Y","분배적 정의관","2020학년도 9월 모평 17번"
"310","11",,,"통합사회2","사회정의와 불평등","다양한 정의관의 특징과 적용","생활과 윤리","하","83","Y","분배적 정의관","(윤사) 2019년 10월 학평 7번"
"311","12",,,"통합사회2","사회정의와 불평등","다양한 정의관의 특징과 적용","생활과 윤리","하","61","Y","분배적 정의관","2021년 7월 학평 10번"
"312","13",,,"통합사회2","사회정의와 불평등","다양한 정의관의 특징과 적용","생활과 윤리","상","32","Y","분배적 정의관","2023학년도 수능 9번"
"313","14",,,"통합사회2","사회정의와 불평등","다양한 정의관의 특징과 적용","생활과 윤리","중","42","Y","분배적 정의관","2024학년도 6월 모평 8번"
"314","15",,,"통합사회2","사회정의와 불평등","다양한 정의관의 특징과 적용","생활과 윤리","하","67","Y","분배적 정의관","2021년 4월 학평 9번"
"315","16",,,"통합사회2","사회정의와 불평등","다양한 정의관의 특징과 적용","생활과 윤리","중","57","Y","분배적 정의관","2022년 4월 학평 15번"
"316","17",,,"통합사회2","사회정의와 불평등","다양한 정의관의 특징과 적용","생활과 윤리","중","53","Y","분배적 정의관","2022학년도 9월 모평 10번"
"317","18",,,"통합사회2","사회정의와 불평등","다양한 정의관의 특징과 적용","생활과 윤리","중","46","Y","분배적 정의관","2022학년도 6월 모평 7번"
"318","19",,,"통합사회2","사회정의와 불평등","다양한 정의관의 특징과 적용","생활과 윤리","하","61","Y","분배적 정의관","2021학년도 수능 10번"
"319","20",,,"통합사회2","사회정의와 불평등","다양한 정의관의 특징과 적용","생활과 윤리","중","50","Y","분배적 정의관","2021년 3월 학평2번 "
"320","21",,,"통합사회2","사회정의와 불평등","다양한 정의관의 특징과 적용","생활과 윤리","상","29","Y","분배적 정의관","2022학년도 수능 10번"
"321","22",,,"통합사회2","사회정의와 불평등","다양한 정의관의 특징과 적용","생활과 윤리","중","52","Y","분배적 정의관","2019년 10월 학평 4번"
"322","23",,,"통합사회2","사회정의와 불평등","다양한 정의관의 특징과 적용","생활과 윤리","상","34","Y","분배적 정의관","2022년 3월 학평 9번"
"323","24",,,"통합사회2","사회정의와 불평등","다양한 정의관의 특징과 적용","생활과 윤리","중","51","Y","분배적 정의관","2022년 7월 학평 7번"
"324","25",,,"통합사회2","사회정의와 불평등","다양한 정의관의 특징과 적용","생활과 윤리","중","60","Y","분배적 정의관","2024년 7월 학평 15번"
"325","26",,,"통합사회2","사회정의와 불평등","다양한 정의관의 특징과 적용","생활과 윤리","하","82","Y","분배적 정의관","(윤사) 2020학년도 수능 7번"
"326","27",,,"통합사회2","사회정의와 불평등","다양한 정의관의 특징과 적용","생활과 윤리","중","46","Y","분배적 정의관","2023년 3월 학평 9번"
"327","28",,,"통합사회2","사회정의와 불평등","다양한 정의관의 특징과 적용","생활과 윤리","상","12","Y","분배적 정의관","2025학년도 6월 모평 15번"
"328","29",,,"통합사회2","사회정의와 불평등","다양한 정의관의 특징과 적용","생활과 윤리","상","21","Y","분배적 정의관","2024학년도 9월 모평 15번"
"329","30",,,"통합사회2","사회정의와 불평등","다양한 정의관의 특징과 적용","생활과 윤리","중","51","Y","분배적 정의관","2023년 4월 학평 12번"
"330","31",,,"통합사회2","사회정의와 불평등","다양한 정의관의 특징과 적용","생활과 윤리","상","31","Y","분배적 정의관","2020학년도 수능 10번"
"331","32",,,"통합사회2","사회정의와 불평등","다양한 정의관의 특징과 적용","생활과 윤리","중","50","Y","분배적 정의관","2023년 10월 학평 5번"
"332","33",,,"통합사회2","사회정의와 불평등","다양한 정의관의 특징과 적용","생활과 윤리","상","33","Y","분배적 정의관, 사회 정의의 분류","2020년 7월 학평 10번"
"333","34",,,"통합사회2","사회정의와 불평등","다양한 정의관의 특징과 적용","생활과 윤리","상","31","Y","분배적 정의관","2024년 3월 학평 15번"
"334","35",,,"통합사회2","사회정의와 불평등","다양한 정의관의 특징과 적용","생활과 윤리","중","46","Y","분배적 정의관","2019년 3월 학평 9번"
"335","36",,,"통합사회2","사회정의와 불평등","다양한 정의관의 특징과 적용","생활과 윤리","하","81","Y","분배적 정의관","2017학년도 6월 모평 11번"
"336","37",,,"통합사회2","사회정의와 불평등","다양한 정의관의 특징과 적용","생활과 윤리","중","43","Y","분배적 정의관, 사회 정의의 분류","2019년 7월 학평 7번"
"337","38",,,"통합사회2","사회정의와 불평등","다양한 정의관의 특징과 적용","생활과 윤리","중","43","Y","분배적 정의관","2023학년도 9월 모평 15번"
"338","39",,,"통합사회2","사회정의와 불평등","다양한 정의관의 특징과 적용","생활과 윤리","중","43","Y","분배적 정의관","2023년 7월 학평 10번"
"339","40",,,"통합사회2","사회정의와 불평등","다양한 정의관의 특징과 적용","생활과 윤리","하","77","Y","분배적 정의관","2022년 10월 학평 10번"
"340","41",,,"통합사회2","사회정의와 불평등","다양한 정의관의 특징과 적용","생활과 윤리","하","87","Y","우대 정책에 대한 윤리적 쟁점","2019년 7월 학평11번 "
"341","42",,,"통합사회2","사회정의와 불평등","다양한 정의관의 특징과 적용","생활과 윤리","중","44","Y","분배적 정의관","2020년 4월 학평 14번"
"342","43",,,"통합사회2","사회정의와 불평등","다양한 정의관의 특징과 적용","생활과 윤리","하","91","Y","우대 정책에 대한 윤리적 쟁점","2018년 3월 학평 11번"
"343","44",,,"통합사회2","사회정의와 불평등","다양한 정의관의 특징과 적용","생활과 윤리","상","38","Y","분배적 정의관","2020학년도 6월 모평 15번"
"344","45",,,"통합사회2","사회정의와 불평등","다양한 정의관의 특징과 적용","생활과 윤리","하","84","Y","우대 정책에 대한 윤리적 쟁점","2017년 10월 학평 14번"
"345","46",,,"통합사회2","사회정의와 불평등","다양한 정의관의 특징과 적용","생활과 윤리","하","68","Y","분배적 정의관","2021학년도 6월 모평 7번"
"346","47",,,"통합사회2","사회정의와 불평등","다양한 정의관의 특징과 적용","생활과 윤리","하","92","Y","우대 정책에 대한 윤리적 쟁점","2018학년도 9월 모평 6번"
"347","48",,,"통합사회2","사회정의와 불평등","다양한 정의관의 특징과 적용","생활과 윤리","중","58","Y","분배적 정의관","2024학년도 수능 14번"
"348","49",,,"통합사회2","사회정의와 불평등","다양한 정의관의 특징과 적용","생활과 윤리","하","78","Y","우대 정책에 대한 윤리적 쟁점","2018년 7월 학평 8번"
"349","50",,,"통합사회2","사회정의와 불평등","다양한 정의관의 특징과 적용","생활과 윤리","중","59","Y","분배적 정의관","2025학년도 9월 모평 10번"
"350","51",,,"통합사회2","사회정의와 불평등","다양한 정의관의 특징과 적용","생활과 윤리","하","70","Y","우대 정책에 대한 윤리적 쟁점","2025학년도 9월 모평 7번"
"351","52",,,"통합사회2","사회정의와 불평등","다양한 정의관의 특징과 적용","생활과 윤리","하","71","Y","분배적 정의관","2024년 10월 학평 12번 "
"352","53",,,"통합사회2","사회정의와 불평등","다양한 정의관의 특징과 적용","생활과 윤리","상","35","Y","분배적 정의관","2025학년도 수능 15번"
"353","54",,,"통합사회2","인권 보장과 헌법","인권의 의미와 현대 사회의 인권","생활과 윤리","중","42","Y","사회계약론","2024년 3월 학평 13번"
"354","55",,,"통합사회2","인권 보장과 헌법","인권의 의미와 현대 사회의 인권","생활과 윤리","하","71","Y","국가의 의무에 대한 동서양의 관점","2020년 10월 학평 3번"
"355","56",,,"통합사회2","인권 보장과 헌법","인권의 의미와 현대 사회의 인권","생활과 윤리","중","58","Y","국가의 의무에 대한 동서양의 관점","2023학년도 6월 모평 11번"
"356","57",,,"통합사회2","인권 보장과 헌법","인권의 의미와 현대 사회의 인권","생활과 윤리","중","55","Y","국가의 의무에 대한 동서양의 관점","2020년 4월 학평 12번"
"357","58",,,"통합사회2","인권 보장과 헌법","인권의 의미와 현대 사회의 인권","생활과 윤리","하","68","Y","국가의 의무에 대한 동서양의 관점","2022학년도 수능 15번"
"358","59",,,"통합사회2","인권 보장과 헌법","인권의 의미와 현대 사회의 인권","생활과 윤리","하","72","Y","국가의 의무에 대한 동서양의 관점","2022년 4월 학평 13번"
"359","60",,,"통합사회2","인권 보장과 헌법","인권의 의미와 현대 사회의 인권","생활과 윤리","하","79","Y","국가의 의무에 대한 동서양의 관점","2021년 4월 학평 18번"
"360","61",,,"통합사회2","인권 보장과 헌법","인권의 의미와 현대 사회의 인권","생활과 윤리","하","84","Y","국가의 의무에 대한 동서양의 관점","2022학년도 9월 모평 7번"
"361","62",,,"통합사회2","인권 보장과 헌법","인권의 의미와 현대 사회의 인권","생활과 윤리","상","28","Y","사회계약론","2024학년도 6월 모평 6번"
"362","63",,,"통합사회2","인권 보장과 헌법","인권의 의미와 현대 사회의 인권","생활과 윤리","상","36","Y","사회계약론","2023년 3월 학평 10번"
"363","64",,,"통합사회2","인권 보장과 헌법","인권의 의미와 현대 사회의 인권","생활과 윤리","상","40","Y","사회계약론","2022년 10월 학평 12번"
"364","65",,,"통합사회2","인권 보장과 헌법","인권의 의미와 현대 사회의 인권","생활과 윤리","상","36","Y","사회계약론","2023학년도 수능 12번"
"365","66",,,"통합사회2","인권 보장과 헌법","인권의 의미와 현대 사회의 인권","생활과 윤리","상","37","Y","사회계약론","2024학년도 9월 모평 13번"
"366","67",,,"통합사회2","인권 보장과 헌법","인권의 의미와 현대 사회의 인권","생활과 윤리","하","61","Y","사회계약론","2023년 10월 학평 2번"
"367","68",,,"통합사회2","인권 보장과 헌법","인권의 의미와 현대 사회의 인권","생활과 윤리","하","63","Y","사회계약론","2024학년도 수능 7번"
"368","69",,,"통합사회2","인권 보장과 헌법","인권의 의미와 현대 사회의 인권","생활과 윤리","중","45","Y","사회계약론","2024년 4월 학평 15번"
"369","70",,,"통합사회2","인권 보장과 헌법","인권의 의미와 현대 사회의 인권","생활과 윤리","중","53","Y","사회계약론","2024년 7월 학평 18번"
"370","71",,,"통합사회2","인권 보장과 헌법","인권 보장을 위한 헌법의 역할과 시민 참여","생활과 윤리","하","75","Y","시민 불복종","2019년 10월 학평 16번"
"371","72",,,"통합사회2","인권 보장과 헌법","인권 보장을 위한 헌법의 역할과 시민 참여","생활과 윤리","중","53","Y","시민 불복종","2020년 3월 학평 12번"
"372","73",,,"통합사회2","인권 보장과 헌법","인권 보장을 위한 헌법의 역할과 시민 참여","생활과 윤리","하","66","Y","시민 불복종","2022년 3월 학평 19번"
"373","74",,,"통합사회2","인권 보장과 헌법","인권 보장을 위한 헌법의 역할과 시민 참여","생활과 윤리","하","70","Y","시민 불복종","2021년 10월 학평 16번 "
"374","75",,,"통합사회2","인권 보장과 헌법","인권 보장을 위한 헌법의 역할과 시민 참여","생활과 윤리","하","61","Y","시민 불복종","2021년 3월 학평 7번"
"375","76",,,"통합사회2","인권 보장과 헌법","인권 보장을 위한 헌법의 역할과 시민 참여","생활과 윤리","중","52","Y","시민 불복종","2020학년도 9월 모평 7번"
"376","77",,,"통합사회2","인권 보장과 헌법","인권 보장을 위한 헌법의 역할과 시민 참여","생활과 윤리","중","44","Y","시민 불복종","2022학년도 6월 모평 16번"
"377","78",,,"통합사회2","인권 보장과 헌법","인권 보장을 위한 헌법의 역할과 시민 참여","생활과 윤리","중","46","Y","시민 불복종","2023년 7월 학평 12번"
"378","79",,,"통합사회2","인권 보장과 헌법","인권 보장을 위한 헌법의 역할과 시민 참여","생활과 윤리","중","44","Y","시민 불복종","2024학년도 수능 9번"
"379","80",,,"통합사회2","인권 보장과 헌법","인권 보장을 위한 헌법의 역할과 시민 참여","생활과 윤리","중","46","Y","시민 불복종","2020년 7월 학평 16번"
"380","81",,,"통합사회2","인권 보장과 헌법","인권 보장을 위한 헌법의 역할과 시민 참여","생활과 윤리","하","67","Y","시민 불복종","2021학년도 수능 12번"
"381","82",,,"통합사회2","인권 보장과 헌법","인권 보장을 위한 헌법의 역할과 시민 참여","생활과 윤리","하","79","Y","시민 불복종","2023년 10월 학평 10번"
"382","83",,,"통합사회2","인권 보장과 헌법","인권 보장을 위한 헌법의 역할과 시민 참여","생활과 윤리","중","58","Y","시민 불복종","2020년 10월 학평 4번"
"383","84",,,"통합사회2","인권 보장과 헌법","인권 보장을 위한 헌법의 역할과 시민 참여","생활과 윤리","상","37","Y","시민 불복종","2023년 3월 학평 17번"
"384","85",,,"통합사회2","인권 보장과 헌법","인권 보장을 위한 헌법의 역할과 시민 참여","생활과 윤리","하","71","Y","시민 불복종","2022년 4월 학평 18번"
"385","86",,,"통합사회2","인권 보장과 헌법","인권 보장을 위한 헌법의 역할과 시민 참여","생활과 윤리","하","63","Y","시민 불복종","2022학년도 수능 3번"
"386","87",,,"통합사회2","인권 보장과 헌법","인권 보장을 위한 헌법의 역할과 시민 참여","생활과 윤리","중","45","Y","시민 불복종","2022학년도 9월 모평 17번"
"387","88",,,"통합사회2","인권 보장과 헌법","인권 보장을 위한 헌법의 역할과 시민 참여","생활과 윤리","중","51","Y","시민 불복종","2022년 7월 학평 14번"
"388","89",,,"통합사회2","인권 보장과 헌법","인권 보장을 위한 헌법의 역할과 시민 참여","생활과 윤리","하","64","Y","시민 불복종","2021학년도 6월 모평 11번"
"389","90",,,"통합사회2","인권 보장과 헌법","인권 보장을 위한 헌법의 역할과 시민 참여","생활과 윤리","중","45","Y","시민 불복종","2024년 3월 학평 4번"
"390","91",,,"통합사회2","인권 보장과 헌법","인권 보장을 위한 헌법의 역할과 시민 참여","생활과 윤리","중","45","Y","시민 불복종","2019년 7월 학평 3번"
"391","92",,,"통합사회2","인권 보장과 헌법","인권 보장을 위한 헌법의 역할과 시민 참여","생활과 윤리","중","56","Y","시민 불복종","2024년 7월 학평 7번"
"392","93",,,"통합사회2","인권 보장과 헌법","인권 보장을 위한 헌법의 역할과 시민 참여","생활과 윤리","중","55","Y","시민 불복종","2021년 7월 학평 17번"
"393","94",,,"통합사회2","인권 보장과 헌법","인권 보장을 위한 헌법의 역할과 시민 참여","생활과 윤리","하","63","Y","시민 불복종","2024년 4월 학평 13번"
"394","95",,,"통합사회2","인권 보장과 헌법","인권 보장을 위한 헌법의 역할과 시민 참여","생활과 윤리","하","61","Y","시민 불복종","2019년 4월 학평 12번"
"395","96",,,"통합사회2","인권 보장과 헌법","인권 보장을 위한 헌법의 역할과 시민 참여","생활과 윤리","중","53","Y","시민 불복종","2023학년도 6월 모평 12번"
