"순번","문제 파일명","정답 파일명","통합사회 1권/2권","대단원","소단원 (자세한)","기존 사탐 범주","내신 난이도 (상,중,하)","정답율%","기출문제 유무 (Y/N)","태그 (쉼표구분)","출처",
"167",,,"통합사회2","인권 보장과 헌법","인권 보장을 위한 헌법의 역할과 시민참여","정치와 법","하","71","Y","헌법 재판소","2021년 4월 학평 10번",
"168",,,"통합사회2","인권 보장과 헌법","인권 보장을 위한 헌법의 역할과 시민참여","정치와 법","상","28","Y","헌법 재판소","2024학년도 수능 9번",
"169",,,"통합사회2","인권 보장과 헌법","인권 보장을 위한 헌법의 역할과 시민참여","정치와 법","상","34","Y","헌법 재판소","2023년 4월 학평 9번",
"170",,,"통합사회2","인권 보장과 헌법","인권 보장을 위한 헌법의 역할과 시민참여","정치와 법","중","59","Y","헌법 재판소","2024년 7월 학평 14번",
"171",,,"통합사회2","인권 보장과 헌법","인권 보장을 위한 헌법의 역할과 시민참여","정치와 법","중","54","Y","헌법 재판소","2025학년도 6월 모평 7번",
"172",,,"통합사회2","인권 보장과 헌법","인권 보장을 위한 헌법의 역할과 시민참여","정치와 법","중","55","Y","헌법 재판소","2023년 3월 학평 6번",
"173",,,"통합사회2","인권 보장과 헌법","인권 보장을 위한 헌법의 역할과 시민참여","정치와 법","중","53","Y","헌법 재판소","2024학년도 6월 모평 9번",
"174",,,"통합사회2","인권 보장과 헌법","인권 보장을 위한 헌법의 역할과 시민참여","정치와 법","하","79","Y","입법부, 행정부, 사법부 간의 견제와 균형","2023년 7월 학평 3번 ",
"175",,,"통합사회2","인권 보장과 헌법","인권 보장을 위한 헌법의 역할과 시민참여","정치와 법","하","75","Y","입법부, 행정부, 사법부 간의 견제와 균형","2024년 3월 학평 3번",
"176",,,"통합사회2","인권 보장과 헌법","인권 보장을 위한 헌법의 역할과 시민참여","정치와 법","하","81","Y","입법부, 행정부, 사법부 간의 견제와 균형","2021년 4월 학평 2번",
"177",,,"통합사회2","인권 보장과 헌법","인권 보장을 위한 헌법의 역할과 시민참여","정치와 법","하","68","Y","입법부, 행정부, 사법부 간의 견제와 균형","2024학년도 6월 모평 13번",
"178",,,"통합사회2","인권 보장과 헌법","인권 보장을 위한 헌법의 역할과 시민참여","정치와 법","하","67","Y","입법부, 행정부, 사법부 간의 견제와 균형","2020년 4월 학평 6번",
"179",,,"통합사회2","인권 보장과 헌법","인권 보장을 위한 헌법의 역할과 시민참여","정치와 법","하","65","Y","입법부, 행정부, 사법부 간의 견제와 균형","2021학년도 9월 모평 6번",
"180",,,"통합사회2","인권 보장과 헌법","인권 보장을 위한 헌법의 역할과 시민참여","정치와 법","하","66","Y","입법부, 행정부, 사법부 간의 견제와 균형","2020년 3월 학평 12번",
"181",,,"통합사회2","인권 보장과 헌법","인권 보장을 위한 헌법의 역할과 시민참여","정치와 법","하","73","Y","입법부, 행정부, 사법부 간의 견제와 균형","2023학년도 9월 모평 9번",
"182",,,"통합사회2","인권 보장과 헌법","인권 보장을 위한 헌법의 역할과 시민참여","정치와 법","중","55","Y","입법부, 행정부, 사법부 간의 견제와 균형","2022년 3월 학평 2번",
"183",,,"통합사회2","인권 보장과 헌법","인권 보장을 위한 헌법의 역할과 시민참여","정치와 법","하","67","Y","입법부, 행정부, 사법부 간의 견제와 균형","2021년 3월 학평 2번",
"184",,,"통합사회2","인권 보장과 헌법","인권 보장을 위한 헌법의 역할과 시민참여","정치와 법","하","65","Y","입법부, 행정부, 사법부 간의 견제와 균형","2020년 10월 학평 16번",
"185",,,"통합사회2","인권 보장과 헌법","인권 보장을 위한 헌법의 역할과 시민참여","정치와 법","중","55","Y","입법부, 행정부, 사법부 간의 견제와 균형","2021학년도 수능 2번",
"186",,,"통합사회2","인권 보장과 헌법","인권 보장을 위한 헌법의 역할과 시민참여","정치와 법","중","45","Y","입법부, 행정부, 사법부 간의 견제와 균형","2022학년도 9월 모평 4번",
"187",,,"통합사회2","인권 보장과 헌법","인권 보장을 위한 헌법의 역할과 시민참여","정치와 법","하","77","Y","입법부, 행정부, 사법부 간의 견제와 균형","2021년 10월 학평 5번",
"188",,,"통합사회2","인권 보장과 헌법","인권 보장을 위한 헌법의 역할과 시민참여","정치와 법","하","71","Y","입법부, 행정부, 사법부 간의 견제와 균형","2024년 7월 학평 6번",
"189",,,"통합사회2","인권 보장과 헌법","인권 보장을 위한 헌법의 역할과 시민참여","정치와 법","하","75","Y","입법부, 행정부, 사법부 간의 견제와 균형","2023년 10월 학평 13번",
"190",,,"통합사회2","인권 보장과 헌법","인권 보장을 위한 헌법의 역할과 시민참여","정치와 법","하","76","Y","입법부, 행정부, 사법부 간의 견제와 균형","2017학년도 9월 모평 9번",
"191",,,"통합사회2","인권 보장과 헌법","인권 보장을 위한 헌법의 역할과 시민참여","정치와 법","하","64","Y","입법부, 행정부, 사법부 간의 견제와 균형","2023년 3월 학평 9번",
"192",,,"통합사회2","인권 보장과 헌법","인권 보장을 위한 헌법의 역할과 시민참여","정치와 법","중","58","Y","입법부, 행정부, 사법부 간의 견제와 균형","2025학년도 6월 모평 4번",
"193",,,"통합사회2","인권 보장과 헌법","인권 보장을 위한 헌법의 역할과 시민참여","정치와 법","중","60","Y","입법부, 행정부, 사법부 간의 견제와 균형","2018년 4월 학평 11번",
"194",,,"통합사회2","인권 보장과 헌법","인권 보장을 위한 헌법의 역할과 시민참여","정치와 법","중","58","Y","입법부, 행정부, 사법부 간의 견제와 균형","2023년 4월 학평 6번",
"195",,,"통합사회2","인권 보장과 헌법","인권 보장을 위한 헌법의 역할과 시민참여","정치와 법","중","46","Y","입법부, 행정부, 사법부 간의 견제와 균형","2023학년도 수능 19번",
"196",,,"통합사회2","인권 보장과 헌법","인권 보장을 위한 헌법의 역할과 시민참여","정치와 법","중","44","Y","입법부, 행정부, 사법부 간의 견제와 균형","2024학년도 9월 모평 8번",
"197",,,"통합사회2","인권 보장과 헌법","인권 보장을 위한 헌법의 역할과 시민참여","정치와 법","중","52","Y","입법부, 행정부, 사법부 간의 견제와 균형","2020년 7월 학평 6번",
"198",,,"통합사회2","인권 보장과 헌법","인권 보장을 위한 헌법의 역할과 시민참여","정치와 법","중","54","Y","입법부, 행정부, 사법부 간의 견제와 균형","2019년 10월 학평 19번",
"199",,,"통합사회2","인권 보장과 헌법","인권 보장을 위한 헌법의 역할과 시민참여","정치와 법","중","57","Y","입법부, 행정부, 사법부 간의 견제와 균형","2021년 7월 학평 8번",
"200",,,"통합사회2","인권 보장과 헌법","인권 보장을 위한 헌법의 역할과 시민참여","정치와 법","중","46","Y","입법부, 행정부, 사법부 간의 견제와 균형","2018년 3월 학평 12번",
"201",,,"통합사회2","인권 보장과 헌법","인권 보장을 위한 헌법의 역할과 시민참여","정치와 법","상","40","Y","입법부, 행정부, 사법부 간의 견제와 균형","2024학년도 수능 6번",
"202",,,"통합사회2","인권 보장과 헌법","인권 보장을 위한 헌법의 역할과 시민참여","정치와 법","상","32","Y","입법부, 행정부, 사법부 간의 견제와 균형","2020학년도 6월 모평 7번",
"203",,,"통합사회2","인권 보장과 헌법","인권 보장을 위한 헌법의 역할과 시민참여","정치와 법","하","82","Y","지방 자치 제도","2022학년도 9월 모평 7번",
"204",,,"통합사회2","인권 보장과 헌법","인권 보장을 위한 헌법의 역할과 시민참여","정치와 법","하","76","Y","지방 자치 제도","2024학년도 9월 모평 6번",
"205",,,"통합사회2","인권 보장과 헌법","인권 보장을 위한 헌법의 역할과 시민참여","정치와 법","하","90","Y","우리나라의 지방 자치 단체","2021년 7월 학평 17번",
"206",,,"통합사회2","인권 보장과 헌법","인권 보장을 위한 헌법의 역할과 시민참여","정치와 법","하","70","Y","우리나라의 지방 자치 단체","2022년 3월 학평 7번",
"207",,,"통합사회2","인권 보장과 헌법","인권 보장을 위한 헌법의 역할과 시민참여","정치와 법","하","67","Y","우리나라의 지방 자치 단체","2021학년도 6월 모평 5번",
"208",,,"통합사회2","인권 보장과 헌법","인권 보장을 위한 헌법의 역할과 시민참여","정치와 법","중","42","Y","헌법 재판소","2025학년도 9월 모평 5번",
"209",,,"통합사회2","인권 보장과 헌법","인권 보장을 위한 헌법의 역할과 시민참여","정치와 법","하","78","Y","입법부, 행정부, 사법부 간의 견제와 균형","2025학년도 9월 모평 7번",
"210",,,"통합사회2","인권 보장과 헌법","인권 보장을 위한 헌법의 역할과 시민참여","정치와 법","하","80","Y","헌법 재판소","2024년 10월 학평 19번",
"211",,,"통합사회2","인권 보장과 헌법","인권 보장을 위한 헌법의 역할과 시민참여","정치와 법","하","84","Y","입법부, 행정부, 사법부 간의 견제와 균형","2024년 10월 학평 13번",
"212",,,"통합사회2","인권 보장과 헌법","인권 보장을 위한 헌법의 역할과 시민참여","정치와 법","중","56","Y","입법부, 행정부, 사법부 간의 견제와 균형","2025학년도 수능 8번",
"213",,,"통합사회2","인권 보장과 헌법","인권 보장을 위한 헌법의 역할과 시민참여","정치와 법","하","69","Y","헌법 재판소","2025학년도 수능 9번",
"214",,,"통합사회2","인권 보장과 헌법","인권 보장을 위한 헌법의 역할과 시민참여","정치와 법","하","86","Y","정치 참여","2020년 7월 학평 13번",
"215",,,"통합사회2","인권 보장과 헌법","인권 보장을 위한 헌법의 역할과 시민참여","정치와 법","하","94","Y","정치 참여","2022학년도 수능 10번",
"216",,,"통합사회2","인권 보장과 헌법","인권 보장을 위한 헌법의 역할과 시민참여","정치와 법","하","96","Y","정치 참여","2020년 4월 학평 12번",
"217",,,"통합사회2","인권 보장과 헌법","인권 보장을 위한 헌법의 역할과 시민참여","정치와 법","하","78","Y","정치 참여","2021학년도 9월 모평 9번",
"218",,,"통합사회2","인권 보장과 헌법","인권 보장을 위한 헌법의 역할과 시민참여","정치와 법","하","74","Y","정치 참여","2021년 4월 학평 4번",
"219",,,"통합사회2","인권 보장과 헌법","인권 보장을 위한 헌법의 역할과 시민참여","정치와 법","하","70","Y","민주선거의 4대 원칙","2015년 10월 학평 13번",
"220",,,"통합사회2","인권 보장과 헌법","인권 보장을 위한 헌법의 역할과 시민참여","정치와 법","하","88","Y","민주선거의 4대 원칙","2017학년도 수능 3번",
"221",,,"통합사회2","인권 보장과 헌법","인권 보장을 위한 헌법의 역할과 시민참여","정치와 법","하","94","Y","정당의 기능","2017학년도 9월 모평 5번",
"222",,,"통합사회2","인권 보장과 헌법","인권 보장을 위한 헌법의 역할과 시민참여","정치와 법","하","70","Y","정당의 기능","2019학년도 6월 모평 6번 ",
"223",,,"통합사회2","인권 보장과 헌법","인권 보장을 위한 헌법의 역할과 시민참여","정치와 법","하","87","Y","정당제도의 유형","2021년 7월 학평 11번",
"224",,,"통합사회2","인권 보장과 헌법","인권 보장을 위한 헌법의 역할과 시민참여","정치와 법","하","79","Y","정당제도의 유형","2019년 10월 학평 3번",
"225",,,"통합사회2","인권 보장과 헌법","인권 보장을 위한 헌법의 역할과 시민참여","정치와 법","하","69","Y","정당제도의 유형","2020학년도 9월 모평 2번",
"226",,,"통합사회2","인권 보장과 헌법","인권 보장을 위한 헌법의 역할과 시민참여","정치와 법","하","73","Y","정당제도의 유형","2018학년도 6월 모평 11번",
"227",,,"통합사회2","인권 보장과 헌법","인권 보장을 위한 헌법의 역할과 시민참여","정치와 법","하","67","Y","정당제도의 유형","2017년 4월 학평 5번",
"228",,,"통합사회2","인권 보장과 헌법","인권 보장을 위한 헌법의 역할과 시민참여","정치와 법","하","84","Y","정당제도의 유형","2020년 7월 학평 10번",
"229",,,"통합사회2","인권 보장과 헌법","인권 보장을 위한 헌법의 역할과 시민참여","정치와 법","중","43","Y","정당제도의 유형","2020학년도 6월 모평 20번",
"230",,,"통합사회2","인권 보장과 헌법","인권 보장을 위한 헌법의 역할과 시민참여","정치와 법","하","95","Y","정치 참여 집단의 특징 비교","2022학년도 9월 모평 6번 ",
"231",,,"통합사회2","인권 보장과 헌법","인권 보장을 위한 헌법의 역할과 시민참여","정치와 법","하","88","Y","정치 참여 집단의 특징 비교","2021년 7월 학평 9번",
"232",,,"통합사회2","인권 보장과 헌법","인권 보장을 위한 헌법의 역할과 시민참여","정치와 법","하","84","Y","정치 참여 집단의 특징 비교","2023학년도 9월 모평 8번",
"233",,,"통합사회2","인권 보장과 헌법","인권 보장을 위한 헌법의 역할과 시민참여","정치와 법","하","91","Y","정치 참여 집단의 특징 비교","2022년 10월 학평 18번",
"234",,,"통합사회2","인권 보장과 헌법","인권 보장을 위한 헌법의 역할과 시민참여","정치와 법","하","87","Y","정치 참여 집단의 특징 비교","2023학년도 수능 2번",
"235",,,"통합사회2","인권 보장과 헌법","인권 보장을 위한 헌법의 역할과 시민참여","정치와 법","하","92","Y","정치 참여 집단의 특징 비교","2023년 4월 학평 2번",
"236",,,"통합사회2","인권 보장과 헌법","인권 보장을 위한 헌법의 역할과 시민참여","정치와 법","하","92","Y","정치 참여 집단의 특징 비교","2019년 10월 학평 13번",
"237",,,"통합사회2","인권 보장과 헌법","인권 보장을 위한 헌법의 역할과 시민참여","정치와 법","하","80","Y","정치 참여 집단의 특징 비교","2020년 4월 학평 5번",
"238",,,"통합사회2","인권 보장과 헌법","인권 보장을 위한 헌법의 역할과 시민참여","정치와 법","하","92","Y","정치 참여 집단의 특징 비교","2022학년도 6월 모평 8번",
"239",,,"통합사회2","인권 보장과 헌법","인권 보장을 위한 헌법의 역할과 시민참여","정치와 법","하","88","Y","정치 참여 집단의 특징 비교","2024학년도 6월 모평 16번",
"240",,,"통합사회2","인권 보장과 헌법","인권 보장을 위한 헌법의 역할과 시민참여","정치와 법","하","88","Y","정치 참여 집단의 특징 비교","2024년 4월 학평 5번",
"241",,,"통합사회2","인권 보장과 헌법","인권 보장을 위한 헌법의 역할과 시민참여","정치와 법","하","85","Y","정치 참여 집단의 특징 비교","2022년 4월 학평 5번",
"242",,,"통합사회2","인권 보장과 헌법","인권 보장을 위한 헌법의 역할과 시민참여","정치와 법","하","65","Y","정치 참여 집단의 특징 비교","2022년 3월 학평 4번",
"243",,,"통합사회2","인권 보장과 헌법","인권 보장을 위한 헌법의 역할과 시민참여","정치와 법","하","69","Y","정치 참여 집단의 특징 비교","2021년 3월 학평 8번",
"244",,,"통합사회2","인권 보장과 헌법","인권 보장을 위한 헌법의 역할과 시민참여","정치와 법","하","84","Y","정치 참여 집단의 특징 비교","2023년 7월 학평 11번",
"245",,,"통합사회2","인권 보장과 헌법","인권 보장을 위한 헌법의 역할과 시민참여","정치와 법","하","94","Y","정치 참여 집단의 특징 비교","2024학년도 수능 13번",
"246",,,"통합사회2","인권 보장과 헌법","인권 보장을 위한 헌법의 역할과 시민참여","정치와 법","하","69","Y","정치 참여 집단의 특징 비교","2023년 3월 학평 15번",
"247",,,"통합사회2","인권 보장과 헌법","인권 보장을 위한 헌법의 역할과 시민참여","정치와 법","하","62","Y","정치 참여 집단의 특징 비교","2018년 7월 학평 5번",
"248",,,"통합사회2","인권 보장과 헌법","인권 보장을 위한 헌법의 역할과 시민참여","정치와 법","하","92","Y","정치 참여 집단의 특징 비교","2021학년도 수능 8번",
"249",,,"통합사회2","인권 보장과 헌법","인권 보장을 위한 헌법의 역할과 시민참여","정치와 법","하","76","Y","정치 참여 집단의 특징 비교","2021학년도 6월 모평10번 ",
"250",,,"통합사회2","인권 보장과 헌법","인권 보장을 위한 헌법의 역할과 시민참여","정치와 법","하","88","Y","정치 참여 집단의 특징 비교","2024학년도 9월 모평 16번",
"251",,,"통합사회2","인권 보장과 헌법","인권 보장을 위한 헌법의 역할과 시민참여","정치와 법","하","92","Y","정치 참여 집단의 특징 비교","2025학년도 6월 모평 8번",
"252",,,"통합사회2","인권 보장과 헌법","인권 보장을 위한 헌법의 역할과 시민참여","정치와 법","하","89","Y","정치 참여 집단의 특징 비교","2019년 7월 학평 6번",
"253",,,"통합사회2","인권 보장과 헌법","인권 보장을 위한 헌법의 역할과 시민참여","정치와 법","하","83","Y","정치 참여 집단의 특징 비교","2018년 10월 학평 12번",
"254",,,"통합사회2","인권 보장과 헌법","인권 보장을 위한 헌법의 역할과 시민참여","정치와 법","하","84","Y","정치 참여 집단의 특징 비교","2024년 7월 학평 19번",
"255",,,"통합사회2","인권 보장과 헌법","인권 보장을 위한 헌법의 역할과 시민참여","정치와 법","하","70","Y","정치 참여 집단의 특징 비교","2020년 3월 학평 17번",
"256",,,"통합사회2","인권 보장과 헌법","인권 보장을 위한 헌법의 역할과 시민참여","정치와 법","하","87","Y","정치 참여 집단의 특징 비교","2020년 10월 학평 12번",
"257",,,"통합사회2","인권 보장과 헌법","인권 보장을 위한 헌법의 역할과 시민참여","정치와 법","하","97","Y","정치 참여 집단의 특징 비교","2023년 10월 학평 8번",
"258",,,"통합사회2","인권 보장과 헌법","인권 보장을 위한 헌법의 역할과 시민참여","정치와 법","중","59","Y","정치 참여 집단의 특징 비교","2021년 4월 학평 6번",
"259",,,"통합사회2","인권 보장과 헌법","인권 보장을 위한 헌법의 역할과 시민참여","정치와 법","하","72","Y","정치 참여 집단의 특징 비교","2023학년도 6월 모평 19번",
"260",,,"통합사회2","인권 보장과 헌법","인권 보장을 위한 헌법의 역할과 시민참여","정치와 법","하","68","Y","정치 참여 집단의 특징 비교","2021학년도 9월 모평 5번",
"261",,,"통합사회2","인권 보장과 헌법","인권 보장을 위한 헌법의 역할과 시민참여","정치와 법","하","88","Y","정치 참여 집단의 특징 비교","2022학년도 수능 9번",
"262",,,"통합사회2","인권 보장과 헌법","인권 보장을 위한 헌법의 역할과 시민참여","정치와 법","하","85","Y","정치 참여 집단의 특징 비교","2022년 7월 학평 11번",
"263",,,"통합사회2","인권 보장과 헌법","인권 보장을 위한 헌법의 역할과 시민참여","정치와 법","하","91","Y","언론","2014학년도 수능 5번",
"264",,,"통합사회2","인권 보장과 헌법","인권 보장을 위한 헌법의 역할과 시민참여","정치와 법","하","82","Y","언론","2016학년도 9월 모평 2번",
"265",,,"통합사회2","인권 보장과 헌법","인권 보장을 위한 헌법의 역할과 시민참여","정치와 법","하","96","Y","언론","2015학년도 수능 3번",
"266",,,"통합사회2","인권 보장과 헌법","인권 보장을 위한 헌법의 역할과 시민참여","정치와 법","하","78","Y","정치 참여 집단의 특징 비교","2025학년도 9월 모평 16번",
"267",,,"통합사회2","인권 보장과 헌법","인권 보장을 위한 헌법의 역할과 시민참여","정치와 법","하","94","Y","정치 참여 집단의 특징 비교","2024년 10월 학평 16번",
"268",,,"통합사회2","인권 보장과 헌법","인권 보장을 위한 헌법의 역할과 시민참여","정치와 법","하","84","Y","정치 참여 집단의 특징 비교","2025학년도 수능 6번",
"269",,,"통합사회2","인권 보장과 헌법","인권 보장을 위한 헌법의 역할과 시민참여","정치와 법","중","53","Y","죄형 법정주의","2021년 7월 학평 7번",
"270",,,"통합사회2","인권 보장과 헌법","인권 보장을 위한 헌법의 역할과 시민참여","정치와 법","중","45","Y","죄형 법정주의","2023학년도 6월 모평 14번",
"271",,,"통합사회2","인권 보장과 헌법","인권 보장을 위한 헌법의 역할과 시민참여","정치와 법","하","84","Y","죄형 법정주의","2021학년도 6월 모평 17번",
"272",,,"통합사회2","인권 보장과 헌법","인권 보장을 위한 헌법의 역할과 시민참여","정치와 법","하","90","Y","죄형 법정주의","2024년 4월 학평 13번",
"273",,,"통합사회2","인권 보장과 헌법","인권 보장을 위한 헌법의 역할과 시민참여","정치와 법","하","84","Y","죄형 법정주의","2023년 4월 학평 13번",
"274",,,"통합사회2","인권 보장과 헌법","인권 보장을 위한 헌법의 역할과 시민참여","정치와 법","하","85","Y","죄형 법정주의","2025학년도 6월 모평 16번",
"275",,,"통합사회2","인권 보장과 헌법","인권 보장을 위한 헌법의 역할과 시민참여","정치와 법","하","87","Y","죄형 법정주의","2021년 4월 학평 15번",
"276",,,"통합사회2","인권 보장과 헌법","인권 보장을 위한 헌법의 역할과 시민참여","정치와 법","하","71","Y","죄형 법정주의","2023년 7월 학평 15번",
"277",,,"통합사회2","인권 보장과 헌법","인권 보장을 위한 헌법의 역할과 시민참여","정치와 법","하","89","Y","죄형 법정주의","2024학년도 6월 모평 10번",
"278",,,"통합사회2","인권 보장과 헌법","인권 보장을 위한 헌법의 역할과 시민참여","정치와 법","하","86","Y","형사절차","2022년 10월 학평 8번",
"279",,,"통합사회2","인권 보장과 헌법","인권 보장을 위한 헌법의 역할과 시민참여","정치와 법","하","82","Y","형사절차","2022학년도 수능 13번",
"280",,,"통합사회2","인권 보장과 헌법","인권 문제의 양상과 해결 방안","정치와 법","하","64","Y","근로 계약과 근로 3권","2021년 4월 학평 17번",
"281",,,"통합사회2","인권 보장과 헌법","인권 문제의 양상과 해결 방안","정치와 법","중","43","Y","근로 계약과 근로 3권","2023학년도 수능 9번",
"282",,,"통합사회2","인권 보장과 헌법","인권 문제의 양상과 해결 방안","정치와 법","중","45","Y","근로 계약과 근로 3권","2024년 7월 학평 17번",
"283",,,"통합사회2","인권 보장과 헌법","인권 문제의 양상과 해결 방안","정치와 법","하","77","Y","근로 계약과 근로 3권","2021년 3월 학평 4번",
"284",,,"통합사회2","인권 보장과 헌법","인권 문제의 양상과 해결 방안","정치와 법","중","51","Y","근로 계약과 근로 3권","2024년 3월 학평 14번",
"285",,,"통합사회2","인권 보장과 헌법","인권 문제의 양상과 해결 방안","정치와 법","하","86","Y","청소년 근로의 보호","2022년 10월 학평 7번",
"286",,,"통합사회2","인권 보장과 헌법","인권 문제의 양상과 해결 방안","정치와 법","하","87","Y","청소년 근로의 보호","2023년 10월 학평 14번",
"287",,,"통합사회2","인권 보장과 헌법","인권 문제의 양상과 해결 방안","정치와 법","하","91","Y","청소년 근로의 보호","2021년 10월 학평 18번",
"288",,,"통합사회2","인권 보장과 헌법","인권 문제의 양상과 해결 방안","정치와 법","하","76","Y","청소년 근로의 보호","2020년 10월 학평 4번",
"289",,,"통합사회2","인권 보장과 헌법","인권 문제의 양상과 해결 방안","정치와 법","하","64","Y","청소년 근로의 보호","2022년 3월 학평 15번 ",
"290",,,"통합사회2","인권 보장과 헌법","인권 문제의 양상과 해결 방안","정치와 법","하","68","Y","청소년 근로의 보호","2020년 3월 학평 11번",
"291",,,"통합사회2","인권 보장과 헌법","인권 문제의 양상과 해결 방안","정치와 법","상","37","Y","청소년 근로의 보호","2021학년도 수능 10번",
"292",,,"통합사회2","인권 보장과 헌법","인권 문제의 양상과 해결 방안","정치와 법","중","56","Y","청소년 근로의 보호","2023학년도 6월 모평 15번",
"293",,,"통합사회2","인권 보장과 헌법","인권 문제의 양상과 해결 방안","정치와 법","중","54","Y","청소년 근로의 보호","2020년 4월 학평 16번",
"294",,,"통합사회2","인권 보장과 헌법","인권 문제의 양상과 해결 방안","정치와 법","중","51","Y","청소년 근로의 보호","2024년 4월 학평 6번",
"295",,,"통합사회2","인권 보장과 헌법","인권 문제의 양상과 해결 방안","정치와 법","하","77","Y","청소년 근로의 보호","2022학년도 6월 모평 10번",
"296",,,"통합사회2","인권 보장과 헌법","인권 문제의 양상과 해결 방안","정치와 법","중","56","Y","청소년 근로의 보호","2024학년도 6월 모평 15번",
"297",,,"통합사회2","인권 보장과 헌법","인권 문제의 양상과 해결 방안","정치와 법","상","27","Y","청소년 근로의 보호","2023년 3월 학평 17번",
"298",,,"통합사회2","인권 보장과 헌법","인권 문제의 양상과 해결 방안","정치와 법","하","63","Y","청소년 근로의 보호","2025학년도 9월 모평 8번",
"298",,,"통합사회2","인권 보장과 헌법","인권 문제의 양상과 해결 방안","정치와 법","하","63","Y","청소년 근로의 보호","2025학년도 9월 모평 8번",
